sequences\00\image_2\000000.png,-9.04E-12,-1,-2.39E-10,718.856,718.856,-2.39E-10,-9.04E-12,-1.37073E-08,-5.18165E-10,,-9.587881662,-6.345290689,min
sequences\00\image_2\000024.png,0.01247777,-0.9997062,0.02077977,718.856,718.856,0.020781266,0.012480789,1.19067882,0.715096532,,6.815021811,8.491778608,max
sequences\00\image_2\000048.png,0.00945617,-0.9999129,0.009202712,718.856,718.856,0.009202842,0.009456712,0.527284,0.541829674,,-0.669585496,-0.527368001,mean
sequences\00\image_2\000072.png,0.01380046,-0.9998718,0.008112825,718.856,718.856,0.008112914,0.013801353,0.464835732,0.790759284,,-0.399886821,-0.522879525,median
sequences\00\image_2\000096.png,0.01594,-0.9998305,0.009213406,718.856,718.856,0.009213536,0.015941352,0.527896748,0.913372177,,pitch,roll,
sequences\00\image_2\000120.png,-0.03611653,-0.9992631,0.01299301,718.856,718.856,0.012993376,-0.036127438,0.744465584,-2.069949719,,,,
sequences\00\image_2\000144.png,-0.0702074,-0.9972418,0.02407483,718.856,718.856,0.024077156,-0.070285614,1.379519434,-4.027069038,,,,
sequences\00\image_2\000168.png,-0.03296529,-0.9992397,0.02081509,718.856,718.856,0.020816593,-0.032978412,1.192702944,-1.889523815,,,,
sequences\00\image_2\000192.png,-0.04565938,-0.9987123,0.0221097,718.856,718.856,0.022111502,-0.045686438,1.266895729,-2.617640106,,,,
sequences\00\image_2\000216.png,0.02141611,-0.9996761,0.01374446,718.856,718.856,0.013744893,0.021419772,0.787524346,1.227262561,,,,
sequences\00\image_2\000240.png,0.02561797,-0.9995179,0.01753858,718.856,718.856,0.017539479,0.025624716,1.004938137,1.468188095,,,,
sequences\00\image_2\000264.png,0.04089052,-0.9989776,0.01927718,718.856,718.856,0.019278374,0.040909532,1.104569474,2.343943528,,,,
sequences\00\image_2\000288.png,0.0335154,-0.9994314,0.003668401,718.856,718.856,0.003668409,0.033521906,0.210184366,1.920663716,,,,
sequences\00\image_2\000312.png,0.05468822,-0.998377,0.0158903,718.856,718.856,0.015890969,0.054722435,0.910485444,3.135364561,,,,
sequences\00\image_2\000336.png,0.02571834,-0.9996465,0.006735662,718.856,718.856,0.006735713,0.025721761,0.385927923,1.473748322,,,,
sequences\00\image_2\000360.png,0.04567615,-0.9985608,0.02810624,718.856,718.856,0.028109942,0.045710119,1.610581027,2.618996924,,,,
sequences\00\image_2\000384.png,0.02273633,-0.9997017,0.008915106,718.856,718.856,0.008915224,0.022739194,0.510804714,1.302859857,,,,
sequences\00\image_2\000408.png,-0.0342721,-0.9993588,0.010366,718.856,718.856,0.010366186,-0.034280655,0.593938688,-1.964136827,,,,
sequences\00\image_2\000432.png,0.04237868,-0.9976921,-0.05305142,718.856,718.856,-0.053076337,0.042451193,-3.041050085,2.432274201,,,,
sequences\00\image_2\000456.png,0.0323609,-0.9984633,-0.04498551,718.856,718.856,-0.045000697,0.032399364,-2.578349994,1.856346818,,,,
sequences\00\image_2\000480.png,0.0259884,-0.998342,-0.05136007,718.856,718.856,-0.051382677,0.026025683,-2.944010528,1.491161777,,,,
sequences\00\image_2\000504.png,0.05444942,-0.996734,-0.05963619,718.856,718.856,-0.059671596,0.054573591,-3.418930596,3.126836464,,,,
sequences\00\image_2\000528.png,0.05116412,-0.9969356,-0.05917465,718.856,718.856,-0.059209239,0.051276402,-3.392439517,2.93792143,,,,
sequences\00\image_2\000552.png,0.04610469,-0.9981474,-0.03970021,718.856,718.856,-0.039710646,0.046157454,-2.275252419,2.644627334,,,,
sequences\00\image_2\000576.png,0.03836837,-0.9989498,-0.02504234,718.856,718.856,-0.025044958,0.038389836,-1.434970401,2.199575597,,,,
sequences\00\image_2\000600.png,0.01278396,-0.9998139,0.01444852,718.856,718.856,0.014449023,0.012785643,0.827868022,0.73256337,,,,
sequences\00\image_2\000624.png,0.00252323,-0.9996995,0.02438295,718.856,718.856,0.024385367,0.002523983,1.397178594,0.144613579,,,,
sequences\00\image_2\000648.png,0.001963118,-0.9997642,0.021626,718.856,718.856,0.021627686,0.001963578,1.239175131,0.11250476,,,,
sequences\00\image_2\000672.png,0.0291176,-0.9993947,0.0190352,718.856,718.856,0.01903635,0.029126996,1.090702496,1.668853931,,,,
