00/image_2\000001.png,718.856,0.9999978,0.0005272628,-0.002066935,-0.0005296506,0.9999992,-0.001154865,0.002066324,0.001155958,0.9999971
00/image_2\000002.png,718.856,0.999991,0.001048972,-0.004131348,-0.001058514,0.9999968,-0.002308104,0.004128913,0.002312456,0.9999887
00/image_2\000003.png,718.856,0.9999796,0.001566466,-0.006198571,-0.001587952,0.9999927,-0.003462706,0.006193102,0.003472479,0.9999747
00/image_2\000004.png,718.856,0.9999637,0.002078471,-0.008263498,-0.002116664,0.9999871,-0.004615826,0.008253797,0.004633149,0.9999551
00/image_2\000005.png,718.856,0.9999433,0.002586172,-0.01033094,-0.002645881,0.9999798,-0.005770163,0.01031581,0.00579717,0.9999299
00/image_2\000006.png,718.856,0.9999184,0.003088363,-0.01239599,-0.00317435,0.999971,-0.006922975,0.01237425,0.006961759,0.9998991
00/image_2\000007.png,718.856,0.999889,0.003586305,-0.01446384,-0.003703403,0.9999605,-0.008077186,0.0144343,0.008129853,0.9998627
00/image_2\000008.png,718.856,0.9998551,0.004078705,-0.01652913,-0.004231669,0.9999484,-0.009229794,0.01649063,0.009298401,0.9998207
00/image_2\000009.png,718.856,0.9998167,0.004566671,-0.01859652,-0.004760342,0.9999347,-0.01038342,0.01854788,0.01047004,0.9997731
00/image_2\000010.png,718.856,0.9997738,0.005049868,-0.02066463,-0.005289072,0.9999194,-0.0115373,0.0206047,0.01164399,0.9997198
00/image_2\000011.png,718.856,0.9997264,0.005527315,-0.02272922,-0.005816781,0.9999025,-0.01268908,0.02265686,0.01281782,0.9996611
00/image_2\000012.png,718.856,0.9996745,0.00600054,-0.02479692,-0.00634516,0.999884,-0.01384246,0.02471098,0.0139953,0.9995966
00/image_2\000013.png,718.856,0.9996182,0.006468772,-0.0268644,-0.006873365,0.9998639,-0.01499561,0.02676374,0.01517453,0.9995266
00/image_2\000014.png,718.856,0.9995562,0.00705845,-0.02894213,-0.007530449,0.9998399,-0.01623192,0.02882292,0.01644266,0.9994492
00/image_2\000015.png,718.856,0.9995095,0.005595311,-0.0308145,-0.006093682,0.9998517,-0.01610315,0.03071983,0.01628303,0.9993953
00/image_2\000016.png,718.856,0.9994226,0.007842768,-0.03306167,-0.008456089,0.999794,-0.01845198,0.03291014,0.01872089,0.9992829
00/image_2\000017.png,718.856,0.9993587,0.008704386,-0.034734,-0.009439421,0.9997338,-0.02105422,0.03454149,0.02136859,0.9991747
00/image_2\000018.png,718.856,0.9992482,0.01235688,-0.03674849,-0.01320676,0.9996488,-0.02297477,0.03645169,0.02344282,0.9990604
